Title,tech_stack
Project Manager,"Adaptability;Advanced budgeting and resource allocation;Advanced project management;Advanced project planning;Advanced project planning and execution;Advanced project planning and scheduling;Advanced project scheduling and planning;Advanced scheduling and budgeting;Advanced scheduling, budgeting, and resource allocation;Agile;Basic budgeting;Basic budgeting and resource allocation;Basic knowledge of Waterfall and Agile;Basic knowledge of project management methodologies (Agile, Scrum, Waterfall);Basic project planning;Basic project planning and scheduling;Budget Planning;Budget and resource management;Budgeting and resource allocation;Budgeting and resource management;Budgeting basics;Change management;Collaboration and teamwork;Communication;Communication and coordination;Communication and interpersonal skills;Communication skills;Conflict resolution;Critical thinking;Cross-functional collaboration;Dashboards;Data-driven decision making;Data-driven reporting;Data-driven reporting and dashboards;End-to-end project management;Familiarity with Jira and Trello;Familiarity with Jira, MS Project, Trello;Familiarity with MS Project and Trello;Familiarity with Microsoft Project, Jira, Trello;Familiarity with project tools (MS Project, Trello);Jira;KPI Tracking;KPI tracking;KPI tracking and reporting basics;Kanban;Microsoft Project;Multitasking;Problem-solving;Problem-solving and critical thinking;Project Management;Project Planning;Project lifecycle management;Project management methodology basics;Project planning and execution;Project scheduling and execution;Project strategy and execution;Reporting;Reporting and analytics;Reporting and dashboard creation;Reporting and dashboards;Reporting and documentation;Reporting basics;Resource Allocation;Resource allocation;Resource allocation basics;Risk Management;Risk and quality management;Risk and quality oversight;Risk assessment and mitigation;Risk management and mitigation;Scheduling and budgeting;Scrum;Stakeholder Communication;Stakeholder Engagement;Stakeholder Management;Stakeholder communication;Stakeholder communication and engagement;Stakeholder engagement;Stakeholder engagement and communication;Stakeholder engagement and negotiation;Stakeholder management;Stakeholder management and communication;Stakeholder management and negotiation;Strategic alignment;Strategic alignment with business goals;Strategic planning;Strategic project alignment;Strategic project management;Task and milestone tracking;Task scheduling;Team Collaboration;Team Leadership;Team collaboration;Team leadership;Team leadership and conflict resolution;Team leadership and mentoring;Team management and conflict resolution;Teamwork and collaboration;Time Management;Time management;Trello;Understanding of Agile and Scrum methodologies;Understanding of Agile, Scrum, Waterfall;Use of Jira, MS Project, Primavera;Use of MS Project, Primavera, Jira;Use of MS Project, Primavera, Jira, Trello;Use of PM tools (MS Project, Jira, Trello, Asana);Use of project management software (MS Project, Jira, Trello, Asana);Use of project management tools (MS Project, Jira, Trello);Use of project management tools (MS Project, Jira, Trello, Asana);Use of project management tools (MS Project, Primavera, Jira, Trello, Asana);Waterfall"
Python Developer,AWS;AWS basics;Adaptability;Async Programming;Async programming;CSS basics;Communication;Control flow;Data Science;Data types;Decorators;Django;Django advanced;Django basics;Docker;Docker basics;Exception handling;FastAPI;FastAPI basics;Flask;Flask advanced;Flask basics;Functions;Generators;Git;Git basics;GraphQL;GraphQL basics;HTML basics;Innovation;Innovation management;JavaScript basics;Kubernetes;Kubernetes basics;Leadership;Matplotlib basics;Metaprogramming;MongoDB basics;MySQL;NoSQL;NoSQL basics;NumPy;NumPy basics;OOP;OOP basics;Pandas;Pandas basics;PostgreSQL;Problem-solving;Project management;PyTest;PyTest advanced;PyTest basics;PyTorch;PyTorch basics;Python;Python advanced;Python basics;REST APIs;SQL;SQL basics;SQLAlchemy;Scikit-learn;Team collaboration;Teamwork;TensorFlow;TensorFlow basics;unittest basics
QA Engineer,"API & Mobile Testing: Postman, SoapUI, Appium;API Testing: Postman, SoapUI;API Testing: Postman, SoapUI, Appium;Appium;Appium basics;Automation;Automation Awareness: Selenium, Appium, Cucumber;Automation Tools Awareness: Selenium, Appium, Cucumber;Automation: Selenium, Appium, Cucumber basic knowledge;Automation: Selenium, Appium, Cucumber, JUnit, TestNG;Automation: Selenium, Appium, Cucumber, TestNG;Bangalore;Basic Automation: Selenium WebDriver, Appium, Cucumber;Basic Automation: Selenium, Appium, Cucumber;Bug & Test Management: JIRA, Bugzilla, Quality Center;Bug Tracking & Documentation: JIRA, Bugzilla, TestRail;Bug Tracking & Documentation: JIRA, TestRail;Bug Tracking & Documentation: JIRA, TestRail, ALM;Bug Tracking: JIRA, Bugzilla;Bugzilla;CI/CD;CI/CD Integration: Jenkins, GitLab CI/CD, Bamboo;CI/CD: Jenkins, GitLab CI/CD;CI/CD: Jenkins, GitLab CI/CD, Bamboo;Chennai;Cucumber awareness;Entry-Level;Fresher;Hyderabad;JIRA;Java;JavaScript;JavaScript basics;Jenkins;Leadership;Manual Testing;Manual Testing: Functional, Regression, Black-box;Mentoring;New York;Performance & Security Testing: JMeter, LoadRunner;Performance & Security Testing: Load, stress, security testing;Performance & Security Testing: Load, stress, vulnerability testing;Performance & Security Testing: LoadRunner;Performance Testing;Performance Testing: JMeter;Performance Testing: Load, stress testing;Postman;Postman basics;Programming: Java, Python, C#, JavaScript;Pune;Python;QA;Remote;San Francisco;Selenium;Selenium basics;Senior-Level;SoapUI;SoapUI basics;Software;Software Testing;Strategy;Test Automation: Selenium, Appium, Cucumber, JUnit, TestNG;Test Automation: Selenium, Appium, Cucumber, TestNG;Test Documentation;Test Documentation & Reporting;TestRail;Testing"
Robotics Engineer,"Adaptability;Advanced C++;Advanced CAD;Advanced CAD/SolidWorks;Advanced Python;Advanced control theory;Advanced robotics control;Advanced robotics control algorithms;Arduino basics;Arduino/Raspberry Pi advanced;AutoCAD;AutoCAD basics;C++;C++ advanced;C++ basics;C++ expert;CAD;CAD/SolidWorks;CAD/SolidWorks advanced;Communication;Computer vision;Control Systems;Control algorithms;Control algorithms advanced;Control systems advanced;Control theory;Cross-functional collaboration;Cross-team collaboration;Dynamics;Embedded Systems;Embedded systems;Embedded systems advanced;Embedded systems basics;Embedded systems design;Embedded systems expert;Gazebo, RViz;Gazebo, RViz simulation;Hardware debugging;Hardware interfacing;Innovation;Innovation in robotics;Innovation management;Innovation strategy;Kinematics;LIDAR and infrared sensors basics;LIDAR and ultrasonic sensors basics;LIDAR and vision sensors;Leadership;Linear algebra;MATLAB;MATLAB basics;ML in robotics;Machine Learning;Machine learning;Machine learning applications;Machine learning basics for robotics;Machine learning in robotics;Motor control;Motor control basics;PID control basics;PID controller fundamentals;PID controllers;PID fundamentals;Problem Solving;Problem solving;Project leadership;Project management;Project strategy;Python;Python advanced;Python basics;Python expert;ROS;ROS advanced;ROS advanced development;ROS basics;ROS development;Raspberry Pi basics;Robotics control algorithms;Robotics control theory;Sensor fusion;Sensor integration and fusion;Sensor integration basics;Sensors;Sensors basics (LIDAR, ultrasonic, infrared);Servo motors basics;Simulation;Simulation (Gazebo, RViz);Simulation tools;Simulation tools (Gazebo, RViz);SolidWorks;SolidWorks advanced;SolidWorks basics;Team collaboration;Team leadership;Team management;Team mentoring;Teamwork"
SEO Specialist,"AI SEO Tools;AI and machine learning in SEO;AI-driven SEO insights;AI-driven SEO tools;AI-powered SEO analytics;AI-powered SEO tools;Advanced SEO strategy;Advanced content optimization;Advanced content strategy;Advanced on-page and off-page SEO;Advanced technical SEO;Analytics;Analytics (GA4, Looker Studio);Analytics (GA4, Looker Studio, Search Console);Analytics (GA4, Search Console, Looker Studio);Analytics and reporting;Analytics and reporting (GA4, Looker Studio);Analytics and reporting (GA4, Looker Studio, Search Console);Basic HTML/CSS;Basic link building;Content Marketing;Content Optimization;Content Strategy;Content marketing;Content marketing optimization;Content optimization;Content optimization basics;Content strategy;Content strategy and SEO copywriting;Content strategy and optimization;Crawlability;Crawlability and indexing optimization;Crawlability checks;Crawlability, indexing, and site structure optimization;GA4;Google Analytics;Google Analytics GA4;Google Analytics basics;Google Search Console;HTML, CSS, JavaScript basics;HTML/CSS basics;Indexing;Keyword Research;Keyword research;Link Building;Link building;Link building and backlink analysis;Link building and outreach;Link building basics;Link building campaigns;Link building strategy;Local & mobile SEO;Local SEO;Local SEO and voice search optimization;Local SEO basics;Local SEO optimization;Local SEO strategy;Local and mobile SEO optimization;Looker Studio;Mobile SEO;Mobile SEO basics;Mobile SEO optimization;Multimodal Search;Multimodal search optimization;Off-Page SEO;Off-page SEO;Off-page SEO basics;Off-page optimization;On-Page SEO;On-page SEO;On-page SEO basics;On-page and off-page optimization;On-page optimization;Page Speed;Page speed and mobile optimization;Page speed and performance optimization;Page speed optimization;Privacy Compliance;Privacy compliance (GDPR);Privacy-compliant SEO;Privacy-compliant SEO (GDPR);Privacy-compliant SEO strategies;SEO;SEO Copywriting;SEO Strategy;SEO copywriting;SEO strategy;SEO strategy and execution;SEO strategy and planning;SEO strategy and roadmap;SEO strategy development;Schema Markup;Schema markup;Schema markup and structured data;Schema markup and structured data implementation;Schema markup basics;Schema markup implementation;Search Console;Search Console basics;Site Architecture;Site architecture optimization;Site indexing basics;Site speed optimization;Social media SEO basics;Stakeholder communication;Technical SEO;Technical SEO audits;Technical SEO basics;Visual Search;Visual search optimization;Voice Search;Voice and visual search optimization;Voice search optimization"
SOC Analyst,Incident Response;Malware Analysis;Network Defense;Python Scripting;QRadar;SIEM;SIEM Tools;SOC;Splunk;Threat Hunting
Sales Executive,Active Listening;Adaptability;CRM;CRM Basics;Closing Deals;Closing Techniques;Communication;Customer Engagement;Data-driven Sales;Digital Sales;Digital Sales Awareness;Digital Sales Fundamentals;HubSpot;Lead Generation;Negotiation;Pipeline Management;Predictive Analytics;Product Demo;Product Demonstrations;Product Demos;Product Knowledge;Relationship Building;Relationship Management;Sales Automation;Sales Automation Awareness;Sales Basics;Sales Executive;Sales Forecasting;Salesforce;Social Selling;Time Management
Senior Android Developer,Agile;Android NDK;Android Studio;CI/CD;Clean Architecture;Dagger;Debugging;Dependency Injection;Firebase;Java;Jetpack;Kotlin;MVVM;Material Design;Performance Optimization;Play Store;REST API;REST APIs;Room;Unit Testing
Senior Android Engineer,Agile;Android NDK;Android Studio;CI/CD;Clean Architecture;Dagger;Debugging;Dependency Injection;Firebase;Java;Jetpack;Kotlin;MVVM;Material Design;Performance Optimization;Play Store;REST API;Room;Unit Testing
Senior Cloud Architect,AWS;AWS multi-cloud;Ansible;Azure;Azure networking;Cloud Architecture;CloudFormation;DevOps;DevOps automation;GCP;Hybrid Cloud;Kubernetes;Kubernetes orchestration;Leadership
Senior Data Scientist,AWS EMR;Analytics;Big Data;Data Science;Deep Learning;ETL pipelines;Ensemble methods;Feature Engineering;Git;Hadoop;Java/Scala;Jupyter;Machine Learning;NLP;PowerBI;Python;R;SQL;Spark;Tableau;Time-series modeling
Senior Incident Response Analyst,Forensics;Incident Response;Malware Analysis;QRadar;SOC;Splunk;Threat Hunting
Senior Interaction Designer,After Effects;Figma;Interaction Design;Micro-Interactions;Principle;Prototyping;Usability Testing
Senior ML Infrastructure Engineer,"Big Data;Big data: Spark, Hadoop;Cloud Deployment;Feature engineering, ETL automation;Frameworks: TensorFlow, PyTorch, Keras, Scikit-learn (advanced);Java;ML/DL;ML/DL: deep learning, reinforcement learning, NLP, computer vision, transfer learning;MLOps;MLOps: CI/CD, model monitoring, cloud deployment (AWS/GCP/Azure);Python;R;SQL;Scala;Senior ML Infrastructure Engineer"
Senior Machine Learning Engineer,"AI;AWS;Advanced ML/DL: deep learning, NLP, reinforcement learning, computer vision, transfer learning;Big Data;Big data: Spark, Hadoop;Classification;Cloud Deployment;Deep Learning;ETL automation;Ensemble methods;Feature engineering;Feature engineering, ETL automation;Frameworks: TensorFlow, PyTorch, Keras, Scikit-learn (advanced);GCP;Hadoop;Java;Java/Scala;Leadership;ML/DL;MLOps;MLOps: CI/CD pipelines, model monitoring, cloud deployment (AWS/GCP/Azure);Machine Learning Engineer;NLP;PowerBI;Python;Python (advanced);R;Regression;Reinforcement Learning;SQL;Scala;Senior ML Engineer;Spark;Tableau"
Senior Network Engineer,Cisco ASA;Nagios;Palo Alto;SD-WAN;Zero Trust;Zero Trust Security
Senior Security Analyst,"Cloud Security;Compliance;Compliance (GDPR, PCI-DSS);Incident Response;LogRhythm;PowerShell;Security Auditing;Vulnerability Assessment;Vulnerability Management"
Senior System Engineer,Active Directory;Docker;Grafana;Monitoring;PowerShell;System Engineering;Windows Server
Senior UX Designer,A/B Testing;Accessibility;Accessibility Standards;Adobe XD;Axure;Design Systems;Figma;Journey Mapping;Principle;Sketch;UX Research;User Research
Senior iOS Developer,App Optimization;CI/CD;Core Data;GitHub Actions;GraphQL;MVVM;Objective-C;Swift
Senior iOS Engineer,App Store Submission;Core Animation;Core Data;Crashlytics;GraphQL;Jenkins;Objective-C;Swift;User Engagement;Xcode
Site Reliability Engineer,"AWS;AWS, Azure, GCP;AWS, Azure, GCP advanced;AWS, Azure, GCP expert;Adaptability;Analytical thinking;Automation;Automation and scripting;Automation scripting;Bash;Bash scripting;Bash scripting basics;Bash scripting expert;Bash/Shell scripting;Bash/Zsh scripting;Basic CI/CD;Basic CI/CD concepts;Basic automation scripts;Basic monitoring (Nagios, Grafana);CI/CD;CI/CD (Jenkins, Bamboo, GitHub Actions);CI/CD fundamentals;CI/CD pipelines;CI/CD pipelines (Jenkins, Bamboo, GitHub Actions);CI/CD pipelines (Jenkins, GitHub Actions);CI/CD pipelines (Jenkins, GitHub Actions, Bamboo);CI/CD pipelines expert;CI/CD pipelines expert (Jenkins, Bamboo, GitHub Actions);Cloud (AWS, Azure, GCP);Cloud expert (AWS, Azure, GCP);Cloud fundamentals (AWS, GCP, Azure);Cloud fundamentals (AWS/Azure/GCP);Cloud platform basics (AWS/Azure/GCP);Cloud platforms (AWS, Azure, GCP);Cloud platforms basics (AWS/Azure/GCP);Cloud platforms expert;Cloud platforms expert (AWS, Azure, GCP);Collaboration;Communication;Containerization basics (Docker);Distributed Systems;Distributed systems;Distributed systems architecture;Distributed systems design;Distributed systems design and management;Distributed systems management;Docker;Docker basics;Docker fundamentals;Docker introduction;Docker, Kubernetes;Docker, Kubernetes advanced;Docker, Kubernetes expert;Go;Go programming;Go, Java;IaC (Terraform, Ansible);IaC (Terraform, Ansible, Puppet);IaC (Terraform, Ansible, Puppet, Chef);Infrastructure as Code (Terraform, Ansible);Infrastructure as Code (Terraform, Ansible, Puppet);Infrastructure as Code (Terraform, Ansible, Puppet, Chef);Intro to monitoring (Prometheus/Grafana);Introduction to cloud platforms;Java scripting;Kubernetes;Kubernetes basics;Kubernetes introduction;Leadership;Linux;Linux OS basics;Linux administration;Linux administration basics;Linux administration expert;Linux administration fundamentals;Linux basics;Linux expert;Linux fundamentals;Linux/Windows;Linux/Windows administration;Linux/Windows administration expert;Linux/Windows expert;Monitoring;Monitoring & logging;Monitoring & logging (Prometheus, Grafana, ELK);Monitoring & logging (Prometheus, Grafana, ELK, Nagios, Splunk);Monitoring & logging expert (Prometheus, Grafana, ELK, Nagios, Splunk);Monitoring & logging tools;Monitoring (Prometheus, Grafana, ELK Stack, Nagios, Splunk);Monitoring (Prometheus, Grafana, ELK, Nagios, Splunk);Monitoring and logging (Prometheus, Grafana, ELK Stack, Nagios, Splunk);Monitoring and logging tools (Prometheus, Grafana, ELK Stack);Monitoring basics (Nagios, Grafana);Monitoring basics (Prometheus/Grafana/Nagios);Monitoring tools intro (Prometheus, Grafana);Networking;Networking (TCP/IP, DNS, CDN, Load Balancing);Networking (TCP/IP, DNS, Load Balancing);Networking (TCP/IP, DNS, Load Balancing, CDN);Networking basics (TCP/IP, DNS);Networking fundamentals;Problem-solving;Prometheus;Python;Python advanced;Python basics;Python, Go;Python, Go, Java;Security and compliance;Security and compliance basics;Security and compliance knowledge;Security compliance;Shell scripting;Shell scripting (Bash/Zsh);TCP/IP networking;TCP/IP networking basics;Terraform;Time management;Windows OS basics;Windows OS fundamentals;Windows administration;Windows fundamentals;Windows server;Windows server administration"
Software Developer,"AI;AWS;AWS basics;Agile;Agile/Scrum;Analytical thinking;Android;Android Studio;Angular;Architecture;Azure;Azure basics;Backend;C#;C++;CI/CD;CSS;Cloud;Cloud Computing;Collaboration;Communication;Data Analytics;Debugging;Django;Docker;Entry-Level;Experienced;Fresher;Frontend;Full-Stack;Git;HTML;Java;JavaScript;JavaScript/TypeScript;Kotlin;Kubernetes;Leadership;ML libraries (scikit-learn, pandas);Machine Learning;Mentoring;Microservices;Mid-Level;Mobile Development;NoSQL;Node.js;Problem-solving;Python;React;SQL;Senior-Level;Software Developer;Spring Boot;Swift;Team Leadership;Teamwork;Testing;Vue.js;Web Development;Xcode;iOS"
Software Engineer,API Integration;APIs;AWS;Agile;Algorithms;Angular;Azure;Backend;C++;CI/CD;CSS;Cybersecurity;Cybersecurity Basics;Data Structures;Debugging;Django;Docker;Express;Figma;Front-End;Game Development;Git;GitHub;HTML;Integration Testing;IntelliJ;IoT;IoT Basics;Java;JavaScript;Jira;Jupyter Notebook;Kubernetes;Leadership;Machine Learning;Machine Learning Basics;Mentoring;Microservices;MongoDB;MySQL;Node.js;OOP;PostgreSQL;Postman;PyCharm;Python;REST API;REST APIs;React;Redux;Responsive Design;Rust;SQL;Scalability;Software Engineer;Spring Boot;Team Leadership;Testing;Trello;TypeScript;UI/UX;Unit Testing;Unity;VS Code;Visual Studio;Vue.js
Software Tester (SDET),"API Testing;API Testing advanced;API testing;API testing basics;Advanced Java;Advanced Python;Agile leadership;Agile understanding;Agile/Scrum;Agile/Scrum knowledge;Agile/Scrum understanding;Appium;Attention to detail;Automation Framework;Automation Testing;Automation strategy;Basic Jenkins;C# advanced;C# basics;CI/CD;CI/CD (Jenkins, Bamboo, Azure DevOps);CI/CD integration;CI/CD integration (Jenkins, Azure DevOps);CI/CD integration (Jenkins, Bamboo);Code Review;Code review;Communication;Cross-team collaboration;Cypress;Cypress basics;Defect management metrics;Defect metrics;Functional and regression testing;Functional testing;JMeter;JMeter basics;JUnit;Java basics;Jenkins;Jenkins basics;Mentoring;Metrics-driven QA;Performance Testing;Performance and load testing;Performance testing;Postman;Postman basics;Problem-solving;Python advanced;Python basics;Regression Testing;Regression testing;Selenium;Selenium WebDriver;Selenium WebDriver basics;Selenium basics;Software Testing;Strategic QA planning;Team collaboration;Team mentoring;Teamwork;Test Data Management;Test automation;Test automation strategy;Test data management;TestNG"
Solutions Architect,AWS;AWS basics;AWS fundamentals;Architecture Design;Azure;Azure basics;Azure fundamentals;Basic CI/CD;Basic CI/CD and DevOps exposure;Basic architecture design;Basic container orchestration knowledge;Basic microservices understanding;Basic security and compliance awareness;Basic security awareness;CI/CD;CI/CD basics;CI/CD fundamentals;CI/CD introduction;CI/CD pipelines;Cloud Architecture;Cloud Computing;CloudFormation;Collaboration;Communication;DevOps;Docker;Docker fundamentals;Docker/Kubernetes basics;Docker/Kubernetes fundamentals;GCP;GCP basics;GCP fundamentals;Google Cloud fundamentals;Introductory Docker/Kubernetes knowledge;Introductory Node.js knowledge;Introductory microservices knowledge;Introductory security awareness;Java;Java basics;Java fundamentals;JavaScript fundamentals;Kubernetes;Kubernetes fundamentals;Leadership;Microservices;Node.js;Node.js basics;Problem-solving;Project leadership;Project management;Python;Python basics;Python fundamentals;Security Compliance;Security compliance;Security protocols;Solutions Architecture;Stakeholder engagement;Stakeholder management;Team Collaboration;Team collaboration;Teamwork;Terraform
Staff UX Designer,A/B Testing;Design Systems;Figma;InVision;Leadership;User Research
System Engineer,AWS;Active Directory;Automation;Azure;Azure Fundamentals;Cloud Basics;Cloud Computing;Compliance;Enterprise Systems;Internship;Kubernetes;Linux;Linux Administration;Linux Basics;Monitoring;Monitoring Tools;Nagios;Networking;Networking Basics;Networking Fundamentals;PowerShell;Python;Python Basics;Python Scripting;Scripting Fundamentals;Security Compliance;System Architecture;System Engineering;Systems Engineer;Systems Engineering;TCP/IP;Terraform;Troubleshooting;VMware;VirtualBox;Windows;Windows Server
System Engineer - Automation Specialist,Ansible;Automation;Bash;Linux;Python;System Optimization;VMware
System Engineer - Cloud & Automation,AWS;Ansible;Automation;Azure;Cloud;Docker;Python
System Engineer - Cloud Focus,AWS;Automation;Azure;Cloud Computing;Linux;Nagios;System Architecture;Terraform
System Engineer - DevOps Integration,Ansible;Automation;CI/CD;DevOps;Docker;Kubernetes;Linux
System Engineer - Monitoring,Automation;Automation Scripts;Grafana;Linux;Monitoring;Nagios;System Reliability;Windows Server
System Engineer - Security,AWS IAM;Compliance;Firewalls;IAM;Linux;Linux Security;PowerShell;System Security;Troubleshooting
System Engineer - Virtualization,Docker;Hyper-V;Linux;Networking;System Performance;VMware;Virtualization
Technical Writer,AI Tools;AI Writing Tools;AI-assisted Documentation;API Documentation;Adaptability;Adobe FrameMaker;Advanced Editing;Advanced Technical Writing;Agile Documentation;Attention to Detail;Basic HTML;Basic HTML/CSS;CMS;CMS Basics;CSS;Clarity;Clear Writing;Collaboration;Documentation;Editing;Grammar and Style;HTML;HTML/CSS/XML;Interviewing SMEs;MadCap Flare;Markdown;Proofreading;Research;Research Skills;SME Collaboration;Structured Authoring;Technical Accuracy;Technical Documentation;Technical Writing;Time Management;UX Documentation;Version Control;XML;XML/HTML/CSS
Telecom & Network Engineer,BGP;Cisco Routers;QoS;SIP;Telecom;VoIP
Test Automation Engineer,ALM;API Testing;Appium;Appium basics;Automation;Automation Scripts;Black-box testing;Bugzilla;C#;CI/CD;Cucumber;Cypress;Cypress basics;Defect Tracking;Docker;Entry-Level;Experienced;Framework Design;Fresher;Functional testing;GitLab;GitLab CI/CD;JIRA;JMeter;Java;Java basics;JavaScript basics;Jenkins;Leadership;LoadRunner;Manual Testing;Manual testing concepts;Mentoring;Performance Testing;Postman;Postman basics;Python;Python basics;QA;Regression Testing;Regression testing;RestAssured;Security Testing;Selenium;Selenium WebDriver;Selenium basics;Software QA;Software Testing;Test Automation;Test case writing;Test documentation;TestNG;TestNG basics;TestRail;Testing;Training
Trainee Android App Developer,Android Studio;Git;Java;Kotlin;Material Design;REST API;SQLite;UI/UX Basics;UI/UX Design;XML
Trainee Network Engineer,Firewalls;Firewalls Basics;IDS/IPS Intro;LAN/WAN;Nagios;Nagios Basics;Network Security Basics;TCP/IP
Trainee Security Analyst,GDPR;GDPR Basics;Linux Commands;Malware Analysis;Nessus;Network Security;Network Security Basics;Penetration Testing;Python;Vulnerability Assessment
Trainee UX Designer,Adobe XD;CSS;CSS Basics;Figma;HTML;HTML Basics;InVision;Prototyping;Wireframing
Trainee iOS Developer,Cocoa Touch;JSON;JSON Handling;REST APIs;Simulator;Swift;Xcode;iOS SDK
UI Designer,A/B Testing;Accessibility;Adobe XD;After Effects;Animation;Branding;Branding Basics;CSS;Color Theory;Creativity;Design Systems;Figma;HTML;HTML/CSS;Illustrator;InVision;Interaction Design;JS;Leadership;Material Design;Micro-Interactions;Photoshop;Principle;Prototyping;Responsive Design;Responsive Layouts;Sketch;Team Leadership;Typography;UI Basics;UI/UX Collaboration;UI/UX Design;UI/UX Design Basics;Usability Basics;Usability Testing;User Flows;User Research;Visual Design;Wireframing
UX,Adobe XD;Color Theory;Figma;Prototyping;Sketch;Typography;Usability Testing;User Research;Wireframing
UX Apprentice,Adobe XD;Figma;Information Architecture;Information Architecture Basics;Prototyping;Sketch;User Flows;Wireframing
UX Architect,Accessibility;Agile;Agile UX;Design Systems;Figma;Information Architecture;Prototyping;UX Research;WCAG
UX Consultant,Agile;Agile UX;Design Thinking;Figma;Sketch;Usability Testing;User Research
UX Design,Adobe XD;Figma;Prototyping;Sketch;User Research;Wireframes;Wireframing
UX Design Lead,Accessibility;Agile UX;Design Systems;Figma;Interaction Design;Leadership
UX Designer,Adobe XD;CSS Basics;Collaboration;Color Theory;Figma;HTML Basics;Prototyping;Sketch;Typography;Usability Testing;User Flows;User Research;Wireframing
UX Manager,Accessibility;Design Thinking;Figma;Journey Mapping;Leadership;Team Leadership;Usability Testing;User Research;User-Centered Design
UX Strategist,A/B Testing;Analytics;Design Systems;Figma;Journey Mapping;UX Research
UX Trainee Designer,Adobe XD;Figma;Prototyping;Typography;User Flows;User Research;Wireframing
Vibe Coder,"AI coding assistant mastery;AI coding assistant proficiency;AI coding assistant usage;AI coding assistant usage (ChatGPT, Copilot);AI coding assistants;AI-assisted code evaluation;AI-assisted coding;Adaptability;Agile;Agile oversight;Agile project management;Agile workflow management;Agile workflow oversight;CSS;CSS basics;Code evaluation;Code evaluation and debugging;Code evaluation and debugging advanced;Code review basics;Collaboration;Communication;Creative problem solving;Creativity;Critical thinking;Cross-functional collaboration;Debugging;Debugging AI outputs;Debugging AI-generated code;HTML;HTML basics;HTML/CSS basics;Innovation management;JavaScript;JavaScript advanced;JavaScript basics;JavaScript expert;Leadership;Mentoring;Problem-solving;Project leadership;Project management Agile;Project management basics;Prompt Engineering;Prompt crafting basics;Prompt creation;Prompt engineering;Prompt engineering advanced;Prompt engineering basics;Prompt engineering expert;Prompt engineering fundamentals;Prompt optimization;Python;Python advanced;Python basics;Python expert;React;React basics;React frameworks;React/Vue expert;React/Vue frameworks;React/Vue frameworks advanced;React/Vue frameworks expert;Ruby;Ruby advanced;Ruby basics;Strategic planning;Task planning with Jira/Trello;Team collaboration;Team management;Teamwork;Vue;Vue basics;Vue frameworks"
Web Developer,AJAX;AWS;Angular;Angular basics;CI/CD;CSS3;Django;Docker;Enzyme;Express.js;Git;GitHub basics;GraphQL;HTML5;JSON;JavaScript;Jest;Kubernetes;MongoDB;MongoDB basics;MySQL;MySQL basics;Node.js;Node.js basics;PHP;PHP basics;Python;Python basics;REST APIs;RESTful APIs;React;React basics;Redis;Responsive Design;SQL;Testing frameworks;Testing with Jest;Testing with Jest/Enzyme;TypeScript;UI/UX fundamentals;Vue.js;Vue.js basics
iOS App Developer,Basic Debugging;Cocoa Touch;Debugging;Git;MVC;Swift;UIKit;Xcode;iOS Development
iOS Application Developer,Core Animation;Core Data;Firebase;Jenkins;Objective-C;Swift;Xcode;iOS Performance
iOS Architect,CI/CD;Core Animation;JIRA;MVP;MVVM;Mentorship;Objective-C;Swift;iOS Architecture
iOS Developer,Agile;App Store Submission;Cocoa Touch;Crash Debugging;Git;MVVM;Objective-C;REST APIs;Simulator;Swift;UIKit;Xcode
iOS Junior Developer,Cocoa Touch;Debugging;MVC;QA Collaboration;Simulator;Swift;Xcode
iOS Mobile App Engineer,Crashlytics;Firebase;Kotlin;MVVM;Objective-C;Swift;Unit Testing;User Engagement
iOS Mobile Developer,App Store submission;Cocoa Touch;Debugging;Git;JSON;Mobile app development;Objective-C;REST APIs;Simulator;Swift;UI/UX;UI/UX Design;UIKit;Xcode;iOS SDK
iOS Solutions Engineer,Core Data;GraphQL;Multi-threading;Objective-C;Performance Tuning;Swift;Xcode Instruments
iOS Tech Lead,Agile;Agile/Scrum;App Store Release;CI/CD;Core Data;Objective-C;REST APIs;Swift
